,largeur mm,hauteur mm,longueur m,cubage,prix pièce,,prix m3 72mm,,fournisseur,Nom,Référence,Catégorie,Essence
LC,72,225,2,"0,0324","24,79 €",,765,,LCCO,72x225mm 2m Lamellés,L72X225/2m,LAMELLES,Lamellés
LC,72,225,3,"0,0486","37,18 €",,765,,LCCO,72x225mm 3m Lamellés,L72X225/3m,LAMELLES,Lamellés
LC,72,225,4,"0,0648","49,57 €",,765,,LCCO,72x225mm 4m Lamellés,L72X225/4m,LAMELLES,Lamellés
LC,72,225,5,"0,081","61,97 €",,765,,LCCO,72x225mm 5m Lamellés,L72X225/5m,LAMELLES,Lamellés
LC,72,225,6,"0,0972","74,36 €",,765,,LCCO,72x225mm 6m Lamellés,L72X225/6m,LAMELLES,Lamellés
LC,72,225,7,"0,1134","86,75 €",,765,,LCCO,72x225mm 7m Lamellés,L72X225/7m,LAMELLES,Lamellés
LC,72,225,8,"0,1296","99,14 €",,765,,LCCO,72x225mm 8m Lamellés,L72X225/8m,LAMELLES,Lamellés
LC,72,225,9,"0,1458","111,54 €",,765,,LCCO,72x225mm 9m Lamellés,L72X225/9m,LAMELLES,Lamellés
LC,72,225,10,"0,162","123,93 €",,765,,LCCO,72x225mm 10m Lamellés,L72X225/10m,LAMELLES,Lamellés
LC,72,225,11,"0,1782","136,32 €",,765,,LCCO,72x225mm 11m Lamellés,L72X225/11m,LAMELLES,Lamellés
LC,72,225,12,"0,1944","148,72 €",,765,,LCCO,72x225mm 12m Lamellés,L72X225/12m,LAMELLES,Lamellés
LC,72,225,13,"0,2106","161,11 €",,765,,LCCO,72x225mm 13m Lamellés,L72X225/13m,LAMELLES,Lamellés
LC,72,270,2,"0,03888","29,74 €",,765,,LCCO,72x270mm 2m Lamellés,L72X270/2m,LAMELLES,Lamellés
LC,72,270,3,"0,05832","44,61 €",,765,,LCCO,72x270mm 3m Lamellés,L72X270/3m,LAMELLES,Lamellés
LC,72,270,4,"0,07776","59,49 €",,765,,LCCO,72x270mm 4m Lamellés,L72X270/4m,LAMELLES,Lamellés
LC,72,270,5,"0,0972","74,36 €",,765,,LCCO,72x270mm 5m Lamellés,L72X270/5m,LAMELLES,Lamellés
LC,72,270,6,"0,11664","89,23 €",,765,,LCCO,72x270mm 6m Lamellés,L72X270/6m,LAMELLES,Lamellés
LC,72,270,7,"0,13608","104,10 €",,765,,LCCO,72x270mm 7m Lamellés,L72X270/7m,LAMELLES,Lamellés
LC,72,270,8,"0,15552","118,97 €",,765,,LCCO,72x270mm 8m Lamellés,L72X270/8m,LAMELLES,Lamellés
LC,72,270,9,"0,17496","133,84 €",,765,,LCCO,72x270mm 9m Lamellés,L72X270/9m,LAMELLES,Lamellés
LC,72,270,10,"0,1944","148,72 €",,765,,LCCO,72x270mm 10m Lamellés,L72X270/10m,LAMELLES,Lamellés
LC,72,270,11,"0,21384","163,59 €",,765,,LCCO,72x270mm 11m Lamellés,L72X270/11m,LAMELLES,Lamellés
LC,72,270,12,"0,23328","178,46 €",,765,,LCCO,72x270mm 12m Lamellés,L72X270/12m,LAMELLES,Lamellés
LC,72,270,13,"0,25272","193,33 €",,765,,LCCO,72x270mm 13m Lamellés,L72X270/13m,LAMELLES,Lamellés
LC,72,315,2,"0,04536","34,70 €",,765,,LCCO,72x315mm 2m Lamellés,L72X315/2m,LAMELLES,Lamellés
LC,72,315,3,"0,06804","52,05 €",,765,,LCCO,72x315mm 3m Lamellés,L72X315/3m,LAMELLES,Lamellés
LC,72,315,4,"0,09072","69,40 €",,765,,LCCO,72x315mm 4m Lamellés,L72X315/4m,LAMELLES,Lamellés
LC,72,315,5,"0,1134","86,75 €",,765,,LCCO,72x315mm 5m Lamellés,L72X315/5m,LAMELLES,Lamellés
LC,72,315,6,"0,13608","104,10 €",,765,,LCCO,72x315mm 6m Lamellés,L72X315/6m,LAMELLES,Lamellés
LC,72,315,7,"0,15876","121,45 €",,765,,LCCO,72x315mm 7m Lamellés,L72X315/7m,LAMELLES,Lamellés
LC,72,315,8,"0,18144","138,80 €",,765,,LCCO,72x315mm 8m Lamellés,L72X315/8m,LAMELLES,Lamellés
LC,72,315,9,"0,20412","156,15 €",,765,,LCCO,72x315mm 9m Lamellés,L72X315/9m,LAMELLES,Lamellés
LC,72,315,10,"0,2268","173,50 €",,765,,LCCO,72x315mm 10m Lamellés,L72X315/10m,LAMELLES,Lamellés
LC,72,315,11,"0,24948","190,85 €",,765,,LCCO,72x315mm 11m Lamellés,L72X315/11m,LAMELLES,Lamellés
LC,72,315,12,"0,27216","208,20 €",,765,,LCCO,72x315mm 12m Lamellés,L72X315/12m,LAMELLES,Lamellés
LC,72,315,13,"0,29484","225,55 €",,765,,LCCO,72x315mm 13m Lamellés,L72X315/13m,LAMELLES,Lamellés
LC,87,225,2,"0,03915","27,80 €",,710,,LCCO,87x225mm 2m Lamellés,L87X225/2m,LAMELLES,Lamellés
LC,87,225,3,"0,058725","41,69 €",,710,,LCCO,87x225mm 3m Lamellés,L87X225/3m,LAMELLES,Lamellés
LC,87,225,4,"0,0783","55,59 €",,710,,LCCO,87x225mm 4m Lamellés,L87X225/4m,LAMELLES,Lamellés
LC,87,225,5,"0,097875","69,49 €",,710,,LCCO,87x225mm 5m Lamellés,L87X225/5m,LAMELLES,Lamellés
LC,87,225,6,"0,11745","83,39 €",,710,,LCCO,87x225mm 6m Lamellés,L87X225/6m,LAMELLES,Lamellés
LC,87,225,7,"0,137025","97,29 €",,710,,LCCO,87x225mm 7m Lamellés,L87X225/7m,LAMELLES,Lamellés
LC,87,225,8,"0,1566","111,19 €",,710,,LCCO,87x225mm 8m Lamellés,L87X225/8m,LAMELLES,Lamellés
LC,87,225,9,"0,176175","125,08 €",,710,,LCCO,87x225mm 9m Lamellés,L87X225/9m,LAMELLES,Lamellés
LC,87,225,10,"0,19575","138,98 €",,710,,LCCO,87x225mm 10m Lamellés,L87X225/10m,LAMELLES,Lamellés
LC,87,225,11,"0,215325","152,88 €",,710,,LCCO,87x225mm 11m Lamellés,L87X225/11m,LAMELLES,Lamellés
LC,87,225,12,"0,2349","166,78 €",,710,,LCCO,87x225mm 12m Lamellés,L87X225/12m,LAMELLES,Lamellés
LC,87,225,13,"0,254475","180,68 €",,710,,LCCO,87x225mm 13m Lamellés,L87X225/13m,LAMELLES,Lamellés
LC,87,270,2,"0,04698","33,36 €",,710,,LCCO,87x270mm 2m Lamellés,L87X270/2m,LAMELLES,Lamellés
LC,87,270,3,"0,07047","50,03 €",,710,,LCCO,87x270mm 3m Lamellés,L87X270/3m,LAMELLES,Lamellés
LC,87,270,4,"0,09396","66,71 €",,710,,LCCO,87x270mm 4m Lamellés,L87X270/4m,LAMELLES,Lamellés
LC,87,270,5,"0,11745","83,39 €",,710,,LCCO,87x270mm 5m Lamellés,L87X270/5m,LAMELLES,Lamellés
